ANO,UF,Código IBGE ,Município,Nº do Decreto,Data do Decreto,Desastre,SE/ECP,Nº da Portaria,Data da Portaria
2009,CE,2304236,CROATÁ,29772,01/06/09,ENXURRADAS,SE,1120,23/12/09
2009,CE,2304251,CRUZ,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2304269,DEPUTADO IRAPUAN PINHEIRO,-,-,ESTIAGEM,SE,190,-
2009,CE,2304277,ERERÊ,29772,01/06/09,ENXURRADAS,SE,1120,23/12/09
2009,CE,2304301,FARIAS BRITO,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2304350,FORQUILHA,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2304459,FORTIM,29771,01/06/09,INUNDAÇÕES,SE,933,16/10/09
2009,CE,2304509,FRECHEIRINHA,-,-,INUNDAÇÕES,SE,839,-
2009,CE,2304608,GENERAL SAMPAIO,29744,19/05/09,INUNDAÇÕES,SE,1070,09/12/09
2009,CE,2304707,GRANJA,-,-,INUNDAÇÕES,SE,840,-
2009,CE,2304806,GRANJEIRO,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2304905,GROAÍRAS,29771,01/06/09,INUNDAÇÕES,SE,956,27/10/09
2009,CE,2305209,HIDROLÂNDIA,-,-,ESTIAGEM,SE,181,-
2009,CE,2305209,HIDROLÂNDIA,29771,01/06/09,INUNDAÇÕES,SE,934,16/10/09
2009,CE,2305233,HORIZONTE,29771,01/06/09,INUNDAÇÕES,SE,1131,23/12/09
2009,CE,2305266,IBARETAMA,-,-,ESTIAGEM,SE,191,-
2009,CE,2305266,IBARETAMA,29771,01/06/09,INUNDAÇÕES,SE,957,27/10/09
2009,CE,2305308,IBIAPINA,29772,01/06/09,ENXURRADAS,SE,1120,23/12/09
2009,CE,2305332,IBICUITINGA,-,-,ESTIAGEM,SE,477,-
2009,CE,2305332,IBICUITINGA,29771,01/06/09,INUNDAÇÕES,SE,916,02/10/09
2009,CE,2305407,ICÓ,-,-,INUNDAÇÕES,SE,742,-
2009,CE,2305506,IGUATU,-,-,INUNDAÇÕES,SE,771,-
2009,CE,2305605,INDEPENDÊNCIA,-,-,ESTIAGEM,SE,182,-
2009,CE,2305605,INDEPENDÊNCIA,29771,01/06/09,INUNDAÇÕES,SE,983,06/11/09
2009,CE,2305654,IPAPORANGA,29772,01/06/09,ENXURRADAS,SE,1120,23/12/09
2009,CE,2305803,IPU,29744,19/05/09,INUNDAÇÕES,SE,917,02/10/09
2009,CE,2305902,IPUEIRAS,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2306108,IRAUÇUBA,-,-,ESTIAGEM,SE,183,-
2009,CE,2306108,IRAUÇUBA,29744,19/05/09,INUNDAÇÕES,SE,926,09/10/09
2009,CE,2306207,ITAIÇABA,-,-,ESTIAGEM,SE,303,-
2009,CE,2306207,ITAIÇABA,29731,11/05/09,INUNDAÇÕES,SE,1110,21/12/09
2009,CE,2306306,ITAPAGÉ,-,-,ESTIAGEM,SE,029,-
2009,CE,2306306,ITAPAGÉ,29732,11/05/09,ENXURRADAS,SE,927,09/10/09
2009,CE,2306405,ITAPIPOCA,-,-,ESTIAGEM,SE,184,-
2009,CE,2306405,ITAPIPOCA,29744,19/05/09,INUNDAÇÕES,SE,1070,09/12/09
2009,CE,2306504,ITAPIÚNA,-,-,ESTIAGEM,SE,030,-
2009,CE,2306504,ITAPIÚNA,29731,11/05/09,INUNDAÇÕES,SE,1072,10/12/09
2009,CE,2306553,ITAREMA,-,-,INUNDAÇÕES,SE,841,-
2009,CE,2306603,ITATIRA,-,-,ESTIAGEM,SE,490,-
2009,CE,2306603,ITATIRA,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2306702,JAGUARETAMA,-,-,ESTIAGEM,SE,491,-
2009,CE,2306702,JAGUARETAMA,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2306801,JAGUARIBARA,-,-,ESTIAGEM,SE,492,-
2009,CE,2306900,JAGUARIBE,-,-,ESTIAGEM,SE,493,-
2009,CE,2306900,JAGUARIBE,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2307007,JAGUARUANA,-,-,ESTIAGEM,SE,478,-
2009,CE,2307007,JAGUARUANA,29744,19/05/09,INUNDAÇÕES,SE,1070,09/12/09
2009,CE,2307106,JARDIM,-,-,ESTIAGEM,SE,479,-
2009,CE,2307254,JIJOCA DE JERICOACOARA,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2307403,JUCÁS,-,-,ESTIAGEM,SE,192,-
2009,CE,2307502,LAVRAS DA MANGABEIRA,-,-,ESTIAGEM,SE,480,-
2009,CE,2307601,LIMOEIRO DO NORTE,-,-,ESTIAGEM,SE,079,-
2009,CE,2307601,LIMOEIRO DO NORTE,-,-,INUNDAÇÕES,SE,772,-
2009,CE,2307635,MADALENA,-,-,ESTIAGEM,SE,080,-
2009,CE,2307809,MARCO,29731,11/05/09,INUNDAÇÕES,SE,1006,10/11/09
2009,CE,2307908,MARTINÓPOLE,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2308005,MASSAPÊ,-,-,INUNDAÇÕES,SE,743,-
2009,CE,2308203,MERUOCA,29772,01/06/09,ENXURRADAS,SE,1120,23/12/09
2009,CE,2308351,MILHÃ,29731,11/05/09,INUNDAÇÕES,SE,935,16/10/09
2009,CE,2308377,MIRAÍMA,29744,19/05/09,INUNDAÇÕES,SE,1070,09/12/09
2009,CE,2308609,MONSENHOR TABOSA,29771,01/06/09,INUNDAÇÕES,SE,1127,23/12/09
2009,CE,2308708,MORADA NOVA,29745,19/05/09,INUNDAÇÕES,SE,1106,21/12/09
2009,CE,2308807,MORAÚJO,29744,19/05/09,INUNDAÇÕES,SE,918,02/10/09
2009,CE,2308906,MORRINHOS,29731,11/05/09,INUNDAÇÕES,SE,1143,23/12/09
2009,CE,2309003,MUCAMBO,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2309102,MULUNGU,29772,01/06/09,ENXURRADAS,SE,1120,23/12/09
2009,CE,2309201,NOVA OLINDA,-,-,ESTIAGEM,SE,089,-
2009,CE,2309300,NOVA RUSSAS,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2309409,NOVO ORIENTE,29771,01/06/09,INUNDAÇÕES,SE,928,09/10/09
2009,CE,2309458,OCARA,-,-,ESTIAGEM,SE,081,-
2009,CE,2309458,OCARA,24,11/05/09,INUNDAÇÕES,SE,1073,10/12/09
2009,CE,2309508,ORÓS,-,-,ESTIAGEM,SE,031,-
2009,CE,2309508,ORÓS,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2309607,PACAJUS,29771,01/06/09,INUNDAÇÕES,SE,919,02/10/09
2009,CE,2309805,PACOTI,29772,01/06/09,ENXURRADAS,SE,1120,23/12/09
2009,CE,2309904,PACUJÁ,29731,11/05/09,INUNDAÇÕES,SE,1095,16/12/09
2009,CE,2310001,PALHANO,-,-,ESTIAGEM,SE,310,-
